name,ingredients,nutrition,steps,meal_type,allergen,equipment_needed,method,protein,calories,carbs,fiber,prep_time,cook_time,fat,bucket,timing,dietary,allergens,equipment,health_tags,effort_tags,flavor_tags
Lemon Garlic Chickpea Stew,chickpeas olive oil garlic lemon salt pepper onion broth,Protein 33.5g Calories 445.4,"Sauté aromatics in a pot until fragrant. Add main ingredients and liquid, then bring to a simmer. Cook until tender, stirring occasionally. Season to taste and serve warm.",Lunch Dinner,,Stove,Simmer,33.5,445.4,16.1,7.1,15,60,6.7,Main Dish,"['Lunch', 'Dinner']",[],[],"['没有Stove', '没有No-Cook']",['Protein High'],"['Slow Burn', 'One-Pot', 'Fresh Run', 'Meal Prep']","['Savory', 'Sour', 'Warm & Soupy', 'Sick Day']"
Lemon Garlic Chicken Roast,chicken breast olive oil salt pepper garlic,Protein 41.5g Calories 550.7,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Lunch Dinner,,Oven,Bake,41.5,550.7,30.7,3.8,15,25,17.2,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Oven', '没有No-Cook']","['Protein High', 'Compact Fuel', 'Stable Energy']",['Fresh Run'],"['Savory', 'Sour']"
Lemon Garlic Cod Chops,fish lemon olive oil salt pepper,Protein 40.8g Calories 519.2,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,40.8,519.2,11.6,2.9,10,20,29.0,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Sour', 'Comfort Food']"
Spicy Chickpea Stew,chickpeas olive oil garlic lemon salt pepper onion broth,Protein 29.8g Calories 541.9,"Sauté aromatics in a pot until fragrant. Add main ingredients and liquid, then bring to a simmer. Cook until tender, stirring occasionally. Season to taste and serve warm.",Lunch Dinner,,Stove,Simmer,29.8,541.9,26.9,2.5,15,60,7.2,Main Dish,"['Lunch', 'Dinner']",[],[],"['没有Stove', '没有No-Cook']",['Compact Fuel'],"['Slow Burn', 'One-Pot', 'Fresh Run', 'Meal Prep']","['Savory', 'Spicy', 'Sour', 'Warm & Soupy', 'Sick Day']"
Grilled Beef Bowl,beef olive oil salt pepper garlic,Protein 36.5g Calories 673.7,"Season the main ingredient with salt, pepper, and aromatics. Heat a grill pan or skillet until hot. Cook on both sides until done. Rest briefly, then serve.",Lunch Dinner,,Stove,Grill,36.5,673.7,8.2,1.9,10,15,27.2,Complete Meal,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Keto Friendly', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
Baked Lamb Chops,,Protein 51.3g Calories 566.6,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Lunch Dinner,,Oven,Bake,51.3,566.6,5.2,3.4,15,25,20.4,Main Dish,"['Lunch', 'Dinner']",[],[],"['没有Oven', '没有No-Cook']","['Protein High', 'Keto Friendly', 'Compact Fuel']",['Fresh Run'],"['Savory', 'Comfort Food']"
Roasted Shrimp Chops,shrimp garlic olive oil salt pepper lemon,Protein 29.4g Calories 479.3,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Lunch Dinner,Shellfish,Oven,Bake,29.4,479.3,3.9,2.3,15,25,25.5,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Kosher']",['Contains Shellfish'],"['没有Oven', '没有No-Cook']",['Keto Friendly'],['Fresh Run'],"['Savory', 'Sour', 'Comfort Food']"
Lemon Garlic Turkey Skewers,ground turkey onion garlic salt pepper,Protein 26.8g Calories 666.1,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,26.8,666.1,13.1,1.9,10,20,20.7,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']",['Compact Fuel'],"['Quick Fix', 'Fresh Run']","['Savory', 'Sour', 'Comfort Food']"
Creamy Shrimp Skewers,shrimp garlic olive oil salt pepper lemon,Protein 36.9g Calories 625.2,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,Shellfish,Stove,Cook,36.9,625.2,20.6,1.9,10,20,19.0,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Kosher']",['Contains Shellfish'],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Sour', 'Creamy']"
Roasted Mushroom Risotto,,Protein 37.2g Calories 698.1,Gather and measure all ingredients. Preheat and set up your workstation. Prepare the main component carefully. Prep the sauce or mixture separately. Combine components in the correct order. Cook while monitoring temperature and texture. Adjust seasoning in small increments. Rest the dish to set flavors and structure. Plate neatly and serve immediately.,Lunch Dinner,,Oven,Bake,37.2,698.1,38.7,2.1,15,25,12.7,Main Dish,"['Lunch', 'Dinner']",[],[],"['没有Oven', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Focus Required', 'Fresh Run']","['Savory', 'Creamy', 'Date Night']"
Lemon Garlic Chicken Skewers,chicken breast olive oil salt pepper garlic,Protein 36.8g Calories 340.2,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,36.8,340.2,35.3,2.8,10,20,22.4,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']",['Protein High'],"['Quick Fix', 'Fresh Run']","['Savory', 'Sour', 'Comfort Food']"
Creamy Turkey Chops,ground turkey onion garlic salt pepper,Protein 47.4g Calories 534.7,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,47.4,534.7,17.2,4.4,10,20,27.4,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food']"
Honey Mustard Pork Casserole,pork salt pepper onion garlic,Protein 26.1g Calories 739.7,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,26.1,739.7,71.0,4.0,10,20,21.1,Complete Meal,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian', 'Halal', 'Kosher']",[],"['没有Stove', '没有No-Cook']",['Compact Fuel'],"['Quick Fix', 'Fresh Run']","['Savory', 'Sour', 'Comfort Food']"
Roasted Beef Skewers,beef olive oil salt pepper garlic,Protein 24.2g Calories 541.3,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Lunch Dinner,,Oven,Bake,24.2,541.3,20.2,1.7,15,25,24.8,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Oven', '没有No-Cook']",['Compact Fuel'],['Fresh Run'],"['Savory', 'Comfort Food']"
Herb Salmon Stir-Fry,fish lemon olive oil salt pepper,Protein 42.4g Calories 515.6,"Season the main ingredient with salt, pepper, and aromatics. Heat a grill pan or skillet until hot. Cook on both sides until done. Rest briefly, then serve.",Lunch Dinner,,Stove,Grill,42.4,515.6,4.8,2.4,10,15,28.5,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Keto Friendly', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Sour', 'Comfort Food', 'Date Night']"
Honey Mustard Turkey Stir-Fry,ground turkey onion garlic salt pepper,Protein 44.6g Calories 434.8,"Season the main ingredient with salt, pepper, and aromatics. Heat a grill pan or skillet until hot. Cook on both sides until done. Rest briefly, then serve.",Lunch Dinner,,Stove,Grill,44.6,434.8,8.0,3.0,10,15,15.8,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Keto Friendly']","['Quick Fix', 'Fresh Run']","['Savory', 'Sour']"
Grilled Turkey Breast,ground turkey onion garlic salt pepper,Protein 36.2g Calories 453.2,"Season the main ingredient with salt, pepper, and aromatics. Heat a grill pan or skillet until hot. Cook on both sides until done. Rest briefly, then serve.",Lunch Dinner,,Stove,Grill,36.2,453.2,18.3,3.1,10,15,21.3,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']",['Protein High'],"['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
Grilled Chicken Cutlets,chicken breast olive oil salt pepper garlic,Protein 40.4g Calories 514.5,"Season the main ingredient with salt, pepper, and aromatics. Heat a grill pan or skillet until hot. Cook on both sides until done. Rest briefly, then serve.",Lunch Dinner,,Stove,Grill,40.4,514.5,6.5,4.4,10,15,20.1,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Keto Friendly', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
Honey Mustard Beef Skewers,beef olive oil salt pepper garlic,Protein 38.0g Calories 651.3,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,38.0,651.3,28.3,4.9,10,20,14.6,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Sour']"
Roasted Lamb Chops,,Protein 42.2g Calories 467.3,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Lunch Dinner,,Oven,Bake,42.2,467.3,39.2,4.8,15,25,20.8,Main Dish,"['Lunch', 'Dinner']",[],[],"['没有Oven', '没有No-Cook']","['Protein High', 'Stable Energy']",['Fresh Run'],"['Savory', 'Comfort Food']"
Smoky Chicken Steak,chicken breast olive oil salt pepper garlic,Protein 42.6g Calories 690.5,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,42.6,690.5,1.1,5.8,10,20,28.3,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Keto Friendly', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food', 'Date Night']"
Smoky Chicken Skewers,chicken breast olive oil salt pepper garlic,Protein 43.6g Calories 551.1,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,43.6,551.1,23.3,3.8,10,20,11.8,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Fresh Run']",['Savory']
Spicy Lamb Meatballs,,Protein 47.2g Calories 424.0,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,47.2,424.0,5.9,0.2,10,20,31.1,Main Dish,"['Lunch', 'Dinner']",[],[],"['没有Stove', '没有No-Cook']","['Protein High', 'Keto Friendly']","['Quick Fix', 'Fresh Run']","['Savory', 'Spicy', 'Comfort Food']"
Smoky Mushroom Risotto,,Protein 26.5g Calories 445.5,Gather and measure all ingredients. Preheat and set up your workstation. Prepare the main component carefully. Prep the sauce or mixture separately. Combine components in the correct order. Cook while monitoring temperature and texture. Adjust seasoning in small increments. Rest the dish to set flavors and structure. Plate neatly and serve immediately.,Lunch Dinner,,Stove,Cook,26.5,445.5,27.6,4.6,10,20,17.0,Main Dish,"['Lunch', 'Dinner']",[],[],"['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Focus Required', 'Fresh Run']","['Savory', 'Creamy', 'Date Night']"
Roasted Beef Chops,beef olive oil salt pepper garlic,Protein 48.2g Calories 688.2,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Lunch Dinner,,Oven,Bake,48.2,688.2,29.4,0.8,15,25,9.4,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Oven', '没有No-Cook']","['Protein High', 'Compact Fuel']",['Fresh Run'],['Savory']
Spicy Pork Breast (Variation 2),pork salt pepper onion garlic,Protein 31.8g Calories 402.9,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,31.8,402.9,26.5,1.9,10,20,19.6,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian', 'Halal', 'Kosher']",[],"['没有Stove', '没有No-Cook']",['Protein High'],"['Quick Fix', 'Fresh Run']","['Savory', 'Spicy']"
Baked Tofu Bowl,tofu soy sauce garlic ginger sesame oil,Protein 49.4g Calories 389.3,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Lunch Dinner,,Oven,Bake,49.4,389.3,13.7,4.6,15,25,15.8,Complete Meal,"['Lunch', 'Dinner']",[],[],"['没有Oven', '没有No-Cook']",['Protein High'],['Fresh Run'],['Savory']
Creamy Chicken Breast,chicken breast olive oil salt pepper garlic,Protein 41.3g Calories 608.4,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,41.3,608.4,27.7,1.2,10,20,21.4,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food']"
Baked Lamb Casserole,,Protein 30.3g Calories 563.8,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Lunch Dinner,,Oven,Bake,30.3,563.8,64.0,4.5,20,45,27.6,Complete Meal,"['Lunch', 'Dinner']",[],[],"['没有Oven', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Slow Burn', 'Fresh Run', 'Meal Prep']","['Savory', 'Comfort Food']"
Grilled Beef Breast,beef olive oil salt pepper garlic,Protein 28.2g Calories 435.6,"Season the main ingredient with salt, pepper, and aromatics. Heat a grill pan or skillet until hot. Cook on both sides until done. Rest briefly, then serve.",Lunch Dinner,,Stove,Grill,28.2,435.6,28.2,2.1,10,15,15.0,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']",['Savory']
Grilled Turkey Steak,ground turkey onion garlic salt pepper,Protein 45.9g Calories 693.5,"Season the main ingredient with salt, pepper, and aromatics. Heat a grill pan or skillet until hot. Cook on both sides until done. Rest briefly, then serve.",Lunch Dinner,,Stove,Grill,45.9,693.5,10.9,4.1,10,15,10.7,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Date Night']"
Lemon Garlic Mushroom Risotto,,Protein 46.6g Calories 712.1,Gather and measure all ingredients. Preheat and set up your workstation. Prepare the main component carefully. Prep the sauce or mixture separately. Combine components in the correct order. Cook while monitoring temperature and texture. Adjust seasoning in small increments. Rest the dish to set flavors and structure. Plate neatly and serve immediately.,Lunch Dinner,,Stove,Cook,46.6,712.1,38.2,1.7,10,20,25.7,Main Dish,"['Lunch', 'Dinner']",[],[],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Focus Required', 'Fresh Run']","['Savory', 'Sour', 'Creamy', 'Comfort Food', 'Date Night']"
Honey Mustard Shrimp Cutlets,shrimp garlic olive oil salt pepper lemon,Protein 43.4g Calories 435.1,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,Shellfish,Stove,Cook,43.4,435.1,13.9,1.5,10,20,17.7,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Kosher']",['Contains Shellfish'],"['没有Stove', '没有No-Cook']",['Protein High'],"['Quick Fix', 'Fresh Run']","['Savory', 'Sour']"
Baked Pork Bowl,pork salt pepper onion garlic,Protein 28.1g Calories 511.6,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Lunch Dinner,,Oven,Bake,28.1,511.6,21.5,4.2,15,25,28.5,Complete Meal,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian', 'Halal', 'Kosher']",[],"['没有Oven', '没有No-Cook']",['Compact Fuel'],['Fresh Run'],"['Savory', 'Comfort Food']"
Baked Chicken Bowl,chicken breast olive oil salt pepper garlic,Protein 40.5g Calories 374.9,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Lunch Dinner,,Oven,Bake,40.5,374.9,23.5,4.0,15,25,13.3,Complete Meal,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Oven', '没有No-Cook']",['Protein High'],['Fresh Run'],['Savory']
Lemon Garlic Shrimp Bowl,shrimp garlic olive oil salt pepper lemon,Protein 41.1g Calories 688.3,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,Shellfish,Stove,Cook,41.1,688.3,2.1,4.3,10,20,16.7,Complete Meal,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Kosher']",['Contains Shellfish'],"['没有Stove', '没有No-Cook']","['Protein High', 'Keto Friendly', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Sour']"
Baked Cod Roast,fish lemon olive oil salt pepper,Protein 38.5g Calories 322.1,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Lunch Dinner,,Oven,Bake,38.5,322.1,37.2,5.6,15,25,17.0,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian']",[],"['没有Oven', '没有No-Cook']","['Protein High', 'Stable Energy']",['Fresh Run'],"['Savory', 'Sour']"
Spicy Pork Roast,pork salt pepper onion garlic,Protein 36.3g Calories 743.2,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Lunch Dinner,,Oven,Bake,36.3,743.2,8.0,1.9,15,25,26.0,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian', 'Halal', 'Kosher']",[],"['没有Oven', '没有No-Cook']","['Protein High', 'Keto Friendly', 'Compact Fuel']",['Fresh Run'],"['Savory', 'Spicy', 'Comfort Food']"
Honey Mustard Salmon Skewers,fish lemon olive oil salt pepper,Protein 39.2g Calories 355.8,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,39.2,355.8,21.4,5.6,10,20,23.9,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian']",[],"['没有Stove', '没有No-Cook']",['Protein High'],"['Quick Fix', 'Fresh Run']","['Savory', 'Sour', 'Comfort Food', 'Date Night']"
Herb Veggie Stir-Fry,,Protein 18.8g Calories 402.6,"Season the main ingredient with salt, pepper, and aromatics. Heat a grill pan or skillet until hot. Cook on both sides until done. Rest briefly, then serve.",Breakfast,,Stove,Grill,18.8,402.6,16.1,2.8,10,15,14.5,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']",['Savory']
Creamy Turkey Breast,ground turkey onion garlic salt pepper,Protein 33.9g Calories 718.9,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,33.9,718.9,19.8,5.8,10,20,28.6,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food']"
Roasted Tofu Bowl (Variation 2),tofu soy sauce garlic ginger sesame oil,Protein 48.3g Calories 493.8,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Lunch Dinner,,Oven,Bake,48.3,493.8,0.4,0.6,15,25,31.7,Complete Meal,"['Lunch', 'Dinner']",[],[],"['没有Oven', '没有No-Cook']","['Protein High', 'Keto Friendly']",['Fresh Run'],"['Savory', 'Comfort Food']"
Lemon Garlic Cod Chops (Variation 2),fish lemon olive oil salt pepper,Protein 38.3g Calories 715.6,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,38.3,715.6,19.8,5.1,10,20,28.6,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Sour', 'Comfort Food']"
Grilled Salmon Steak,beef olive oil salt pepper garlic,Protein 27.8g Calories 454.5,"Season the main ingredient with salt, pepper, and aromatics. Heat a grill pan or skillet until hot. Cook on both sides until done. Rest briefly, then serve.",Lunch Dinner,,Stove,Grill,27.8,454.5,4.5,2.8,10,15,19.4,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']",['Keto Friendly'],"['Quick Fix', 'Fresh Run']","['Savory', 'Date Night']"
Creamy Turkey Chops (Variation 2),ground turkey onion garlic salt pepper,Protein 45.7g Calories 614.6,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,45.7,614.6,22.7,1.1,10,20,24.7,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food']"
Creamy Salmon Steak,beef olive oil salt pepper garlic,Protein 48.9g Calories 662.5,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,48.9,662.5,33.1,0.5,10,20,19.3,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Date Night']"
Roasted Cod Meatballs,fish lemon olive oil salt pepper,Protein 27.5g Calories 474.2,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Lunch Dinner,,Oven,Bake,27.5,474.2,5.6,1.5,15,25,19.4,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian']",[],"['没有Oven', '没有No-Cook']",['Keto Friendly'],['Fresh Run'],"['Savory', 'Sour']"
Baked Tofu Bowl (Variation 2),tofu soy sauce garlic ginger sesame oil,Protein 50.6g Calories 621.5,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Lunch Dinner,,Oven,Bake,50.6,621.5,12.1,0.1,15,25,23.9,Complete Meal,"['Lunch', 'Dinner']",[],[],"['没有Oven', '没有No-Cook']","['Protein High', 'Compact Fuel']",['Fresh Run'],"['Savory', 'Comfort Food']"
Grilled Salmon Cutlets,fish lemon olive oil salt pepper,Protein 42.8g Calories 581.0,"Season the main ingredient with salt, pepper, and aromatics. Heat a grill pan or skillet until hot. Cook on both sides until done. Rest briefly, then serve.",Lunch Dinner,,Stove,Grill,42.8,581.0,2.5,1.8,10,15,21.9,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Keto Friendly', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Sour', 'Comfort Food', 'Date Night']"
Herb Salmon Cutlets,fish lemon olive oil salt pepper,Protein 43.1g Calories 678.0,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,43.1,678.0,12.4,5.5,10,20,10.6,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Sour', 'Date Night']"
Lemon Garlic Chickpea Stew (Variation 2),chickpeas olive oil garlic lemon salt pepper onion broth,Protein 28.0g Calories 338.0,"Sauté aromatics in a pot until fragrant. Add main ingredients and liquid, then bring to a simmer. Cook until tender, stirring occasionally. Season to taste and serve warm.",Lunch Dinner,,Stove,Simmer,28.0,338.0,23.8,3.2,15,60,8.1,Main Dish,"['Lunch', 'Dinner']",[],[],"['没有Stove', '没有No-Cook']",['Protein High'],"['Slow Burn', 'One-Pot', 'Fresh Run', 'Meal Prep']","['Savory', 'Sour', 'Warm & Soupy', 'Sick Day']"
Spicy Salmon Bowl,fish lemon olive oil salt pepper,Protein 40.2g Calories 619.1,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,40.2,619.1,16.6,2.8,10,20,20.1,Complete Meal,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Spicy', 'Sour', 'Comfort Food', 'Date Night']"
Honey Mustard Chickpea Stew (Variation 2),chickpeas olive oil garlic lemon salt pepper onion broth,Protein 29.3g Calories 435.0,"Sauté aromatics in a pot until fragrant. Add main ingredients and liquid, then bring to a simmer. Cook until tender, stirring occasionally. Season to taste and serve warm.",Lunch Dinner,,Stove,Simmer,29.3,435.0,23.7,8.0,15,60,10.0,Main Dish,"['Lunch', 'Dinner']",[],[],"['没有Stove', '没有No-Cook']",['Stable Energy'],"['Slow Burn', 'One-Pot', 'Fresh Run', 'Meal Prep']","['Savory', 'Sour', 'Warm & Soupy', 'Sick Day']"
